step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,0.0,3.25390625,0.0,0.01
1,0.0,3.3828125,0.0,0.01
2,0.0,3.685546875,0.0,0.01
3,0.0,3.228515625,0.0,0.01
4,0.0,2.998046875,0.0,0.01
5,0.0,3.97265625,0.0,0.01
6,0.0,2.84375,0.0,0.01
7,0.0,2.919921875,0.0,0.01
8,0.0,3.55078125,0.0,0.01
9,0.0,3.474609375,0.0,0.01
10,0.0,2.955078125,0.0,0.01
