step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.36328125,3.36328125,0.0,1e-05
1,3.580078125,3.580078125,0.0,1e-05
2,2.888671875,2.888671875,0.0,1e-05
3,3.083984375,3.083984375,0.0,1e-05
4,3.345703125,3.345703125,0.0,1e-05
5,3.8203125,3.8203125,0.0,1e-05
6,3.677734375,3.677734375,0.0,1e-05
7,3.001953125,3.001953125,0.0,1e-05
8,3.4140625,3.4140625,0.0,1e-05
9,2.86328125,2.86328125,0.0,1e-05
10,4.234375,4.234375,0.0,1e-05
11,4.16796875,4.16796875,0.0,1e-05
12,4.4296875,4.4296875,0.0,1e-05
13,3.837890625,3.837890625,0.0,1e-05
14,3.3515625,3.3515625,0.0,1e-05
15,4.10546875,4.10546875,0.0,1e-05
16,3.83203125,3.83203125,0.0,1e-05
17,3.576171875,3.576171875,0.0,1e-05
18,3.513671875,3.513671875,0.0,1e-05
19,2.857421875,2.857421875,0.0,1e-05
20,3.22265625,3.22265625,0.0,1e-05
21,3.02734375,3.02734375,0.0,1e-05
22,4.02734375,4.02734375,0.0,1e-05
23,3.181640625,3.181640625,0.0,1e-05
24,3.15625,3.15625,0.0,1e-05
25,3.87890625,3.87890625,0.0,1e-05
26,2.888671875,2.888671875,0.0,1e-05
27,3.5078125,3.5078125,0.0,1e-05
28,3.796875,3.796875,0.0,1e-05
29,3.728515625,3.728515625,0.0,1e-05
30,3.62109375,3.62109375,0.0,1e-05
31,3.857421875,3.857421875,0.0,1e-05
32,3.3125,3.3125,0.0,1e-05
33,4.06640625,4.06640625,0.0,1e-05
34,3.78125,3.78125,0.0,1e-05
35,3.240234375,3.240234375,0.0,1e-05
36,4.0390625,4.0390625,0.0,1e-05
37,2.640625,2.640625,0.0,1e-05
38,4.140625,4.140625,0.0,1e-05
39,3.005859375,3.005859375,0.0,1e-05
40,3.09375,3.09375,0.0,1e-05
41,3.544921875,3.544921875,0.0,1e-05
42,3.45703125,3.45703125,0.0,1e-05
43,3.5703125,3.5703125,0.0,1e-05
44,4.0390625,4.0390625,0.0,1e-05
45,3.310546875,3.310546875,0.0,1e-05
46,3.62109375,3.62109375,0.0,1e-05
47,3.64453125,3.64453125,0.0,1e-05
48,3.26171875,3.26171875,0.0,1e-05
49,3.388671875,3.388671875,0.0,1e-05
50,3.533203125,3.533203125,0.0,1e-05
51,3.732421875,3.732421875,0.0,1e-05
52,3.1796875,3.1796875,0.0,1e-05
53,3.373046875,3.373046875,0.0,1e-05
54,3.744140625,3.744140625,0.0,1e-05
55,2.9140625,2.9140625,0.0,1e-05
56,3.0078125,3.0078125,0.0,1e-05
57,3.796875,3.796875,0.0,1e-05
58,3.5625,3.5625,0.0,1e-05
59,3.15234375,3.15234375,0.0,1e-05
60,2.779296875,2.779296875,0.0,1e-05
61,3.591796875,3.591796875,0.0,1e-05
62,3.259765625,3.259765625,0.0,1e-05
63,3.263671875,3.263671875,0.0,1e-05
64,3.845703125,3.845703125,0.0,1e-05
65,3.802734375,3.802734375,0.0,1e-05
66,2.921875,2.921875,0.0,1e-05
67,3.087890625,3.087890625,0.0,1e-05
68,3.716796875,3.716796875,0.0,1e-05
69,3.54296875,3.54296875,0.0,1e-05
70,4.16015625,4.16015625,0.0,1e-05
71,3.29296875,3.29296875,0.0,1e-05
72,4.2578125,4.2578125,0.0,1e-05
73,3.54296875,3.54296875,0.0,1e-05
74,2.98046875,2.98046875,0.0,1e-05
75,2.958984375,2.958984375,0.0,1e-05
76,3.478515625,3.478515625,0.0,1e-05
77,3.95703125,3.95703125,0.0,1e-05
78,3.86328125,3.86328125,0.0,1e-05
79,3.044921875,3.044921875,0.0,1e-05
80,4.296875,4.296875,0.0,1e-05
81,3.890625,3.890625,0.0,1e-05
82,2.650390625,2.650390625,0.0,1e-05
83,3.65625,3.65625,0.0,1e-05
84,3.228515625,3.228515625,0.0,1e-05
85,3.673828125,3.673828125,0.0,1e-05
86,3.033203125,3.033203125,0.0,1e-05
87,3.056640625,3.056640625,0.0,1e-05
88,3.525390625,3.525390625,0.0,1e-05
89,4.3515625,4.3515625,0.0,1e-05
90,3.234375,3.234375,0.0,1e-05
91,2.9921875,2.9921875,0.0,1e-05
92,3.2578125,3.2578125,0.0,1e-05
93,3.1796875,3.1796875,0.0,1e-05
94,3.125,3.125,0.0,1e-05
95,3.490234375,3.490234375,0.0,1e-05
96,3.427734375,3.427734375,0.0,1e-05
97,3.28125,3.28125,0.0,1e-05
98,3.650390625,3.650390625,0.0,1e-05
99,3.30859375,3.30859375,0.0,1e-05
100,3.421875,3.421875,0.0,1e-05
101,3.611328125,3.611328125,0.0,1e-05
102,3.46875,3.46875,0.0,1e-05
103,3.201171875,3.201171875,0.0,1e-05
104,3.041015625,3.041015625,0.0,1e-05
105,3.275390625,3.275390625,0.0,1e-05
106,3.541015625,3.541015625,0.0,1e-05
107,3.095703125,3.095703125,0.0,1e-05
108,3.498046875,3.498046875,0.0,1e-05
109,3.708984375,3.708984375,0.0,1e-05
110,3.93359375,3.93359375,0.0,1e-05
111,2.890625,2.890625,0.0,1e-05
112,4.046875,4.046875,0.0,1e-05
113,3.443359375,3.443359375,0.0,1e-05
114,3.2265625,3.2265625,0.0,1e-05
115,3.828125,3.828125,0.0,1e-05
116,2.97265625,2.97265625,0.0,1e-05
117,3.501953125,3.501953125,0.0,1e-05
118,3.20703125,3.20703125,0.0,1e-05
119,3.92578125,3.92578125,0.0,1e-05
120,3.951171875,3.951171875,0.0,1e-05
121,3.802734375,3.802734375,0.0,1e-05
122,3.59375,3.59375,0.0,1e-05
123,3.474609375,3.474609375,0.0,1e-05
124,3.580078125,3.580078125,0.0,1e-05
125,2.998046875,2.998046875,0.0,1e-05
126,3.8203125,3.8203125,0.0,1e-05
127,4.6328125,4.6328125,0.0,1e-05
128,3.123046875,3.123046875,0.0,1e-05
129,3.65625,3.65625,0.0,1e-05
130,3.564453125,3.564453125,0.0,1e-05
131,3.197265625,3.197265625,0.0,1e-05
132,3.220703125,3.220703125,0.0,1e-05
133,2.908203125,2.908203125,0.0,1e-05
134,2.947265625,2.947265625,0.0,1e-05
135,3.681640625,3.681640625,0.0,1e-05
136,2.876953125,2.876953125,0.0,1e-05
137,3.267578125,3.267578125,0.0,1e-05
138,3.279296875,3.279296875,0.0,1e-05
139,3.74609375,3.74609375,0.0,1e-05
140,3.302734375,3.302734375,0.0,1e-05
141,3.193359375,3.193359375,0.0,1e-05
142,4.234375,4.234375,0.0,1e-05
143,4.02734375,4.02734375,0.0,1e-05
144,3.4609375,3.4609375,0.0,1e-05
145,3.650390625,3.650390625,0.0,1e-05
146,3.955078125,3.955078125,0.0,1e-05
147,3.783203125,3.783203125,0.0,1e-05
148,3.322265625,3.322265625,0.0,1e-05
149,3.587890625,3.587890625,0.0,1e-05
150,3.62109375,3.62109375,0.0,1e-05
151,3.1875,3.1875,0.0,1e-05
152,3.349609375,3.349609375,0.0,1e-05
153,2.97265625,2.97265625,0.0,1e-05
154,3.03515625,3.03515625,0.0,1e-05
155,2.68359375,2.68359375,0.0,1e-05
156,3.447265625,3.447265625,0.0,1e-05
157,3.716796875,3.716796875,0.0,1e-05
158,3.03125,3.03125,0.0,1e-05
159,3.861328125,3.861328125,0.0,1e-05
160,3.318359375,3.318359375,0.0,1e-05
161,2.87109375,2.87109375,0.0,1e-05
162,3.5703125,3.5703125,0.0,1e-05
163,3.435546875,3.435546875,0.0,1e-05
164,3.240234375,3.240234375,0.0,1e-05
165,3.47265625,3.47265625,0.0,1e-05
166,3.623046875,3.623046875,0.0,1e-05
167,3.37890625,3.37890625,0.0,1e-05
168,3.3828125,3.3828125,0.0,1e-05
169,3.556640625,3.556640625,0.0,1e-05
170,3.357421875,3.357421875,0.0,1e-05
171,3.732421875,3.732421875,0.0,1e-05
172,2.88671875,2.88671875,0.0,1e-05
173,3.166015625,3.166015625,0.0,1e-05
174,3.677734375,3.677734375,0.0,1e-05
175,3.330078125,3.330078125,0.0,1e-05
176,3.603515625,3.603515625,0.0,1e-05
177,3.6796875,3.6796875,0.0,1e-05
178,3.3046875,3.3046875,0.0,1e-05
179,4.32421875,4.32421875,0.0,1e-05
180,3.84765625,3.84765625,0.0,1e-05
181,3.216796875,3.216796875,0.0,1e-05
182,3.392578125,3.392578125,0.0,1e-05
183,2.94140625,2.94140625,0.0,1e-05
184,3.779296875,3.779296875,0.0,1e-05
185,3.072265625,3.072265625,0.0,1e-05
186,3.224609375,3.224609375,0.0,1e-05
187,3.337890625,3.337890625,0.0,1e-05
188,2.900390625,2.900390625,0.0,1e-05
189,3.841796875,3.841796875,0.0,1e-05
190,4.171875,4.171875,0.0,1e-05
191,3.458984375,3.458984375,0.0,1e-05
192,2.919921875,2.919921875,0.0,1e-05
193,3.287109375,3.287109375,0.0,1e-05
194,3.7421875,3.7421875,0.0,1e-05
195,3.755859375,3.755859375,0.0,1e-05
196,3.443359375,3.443359375,0.0,1e-05
197,2.94921875,2.94921875,0.0,1e-05
198,3.84765625,3.84765625,0.0,1e-05
199,3.138671875,3.138671875,0.0,1e-05
200,3.390625,3.390625,0.0,1e-05
201,3.1171875,3.1171875,0.0,1e-05
202,3.986328125,3.986328125,0.0,1e-05
203,3.740234375,3.740234375,0.0,1e-05
204,2.798828125,2.798828125,0.0,1e-05
205,3.025390625,3.025390625,0.0,1e-05
206,3.4921875,3.4921875,0.0,1e-05
207,2.658203125,2.658203125,0.0,1e-05
208,4.5859375,4.5859375,0.0,1e-05
209,3.736328125,3.736328125,0.0,1e-05
210,3.38671875,3.38671875,0.0,1e-05
211,3.484375,3.484375,0.0,1e-05
212,3.521484375,3.521484375,0.0,1e-05
213,3.150390625,3.150390625,0.0,1e-05
214,3.73046875,3.73046875,0.0,1e-05
215,2.99609375,2.99609375,0.0,1e-05
216,3.376953125,3.376953125,0.0,1e-05
217,3.384765625,3.384765625,0.0,1e-05
218,3.4453125,3.4453125,0.0,1e-05
219,2.92578125,2.92578125,0.0,1e-05
220,3.06640625,3.06640625,0.0,1e-05
221,3.55078125,3.55078125,0.0,1e-05
222,3.51171875,3.51171875,0.0,1e-05
223,3.572265625,3.572265625,0.0,1e-05
224,3.7578125,3.7578125,0.0,1e-05
225,3.12890625,3.12890625,0.0,1e-05
226,3.224609375,3.224609375,0.0,1e-05
227,3.095703125,3.095703125,0.0,1e-05
228,3.15234375,3.15234375,0.0,1e-05
229,3.087890625,3.087890625,0.0,1e-05
230,3.484375,3.484375,0.0,1e-05
231,4.171875,4.171875,0.0,1e-05
232,3.466796875,3.466796875,0.0,1e-05
233,4.22265625,4.22265625,0.0,1e-05
234,3.185546875,3.185546875,0.0,1e-05
235,2.673828125,2.673828125,0.0,1e-05
236,3.94140625,3.94140625,0.0,1e-05
237,3.17578125,3.17578125,0.0,1e-05
238,4.33203125,4.33203125,0.0,1e-05
239,3.416015625,3.416015625,0.0,1e-05
240,3.05078125,3.05078125,0.0,1e-05
241,4.046875,4.046875,0.0,1e-05
242,3.015625,3.015625,0.0,1e-05
243,3.802734375,3.802734375,0.0,1e-05
244,3.439453125,3.439453125,0.0,1e-05
245,3.28515625,3.28515625,0.0,1e-05
246,2.9921875,2.9921875,0.0,1e-05
247,3.61328125,3.61328125,0.0,1e-05
248,3.357421875,3.357421875,0.0,1e-05
249,3.7421875,3.7421875,0.0,1e-05
250,3.361328125,3.361328125,0.0,1e-05
251,3.62109375,3.62109375,0.0,1e-05
252,3.060546875,3.060546875,0.0,1e-05
253,3.916015625,3.916015625,0.0,1e-05
254,4.3515625,4.3515625,0.0,1e-05
255,3.826171875,3.826171875,0.0,1e-05
256,3.583984375,3.583984375,0.0,1e-05
257,2.52734375,2.52734375,0.0,1e-05
258,2.8046875,2.8046875,0.0,1e-05
259,3.34765625,3.34765625,0.0,1e-05
260,4.34375,4.34375,0.0,1e-05
261,3.806640625,3.806640625,0.0,1e-05
262,3.486328125,3.486328125,0.0,1e-05
263,2.9140625,2.9140625,0.0,1e-05
264,3.19140625,3.19140625,0.0,1e-05
265,3.427734375,3.427734375,0.0,1e-05
266,3.47265625,3.47265625,0.0,1e-05
267,3.52734375,3.52734375,0.0,1e-05
268,3.435546875,3.435546875,0.0,1e-05
269,3.24609375,3.24609375,0.0,1e-05
270,3.14453125,3.14453125,0.0,1e-05
271,3.2265625,3.2265625,0.0,1e-05
272,3.451171875,3.451171875,0.0,1e-05
273,3.486328125,3.486328125,0.0,1e-05
274,3.775390625,3.775390625,0.0,1e-05
275,4.1484375,4.1484375,0.0,1e-05
276,2.78125,2.78125,0.0,1e-05
277,3.681640625,3.681640625,0.0,1e-05
278,2.982421875,2.982421875,0.0,1e-05
279,3.46484375,3.46484375,0.0,1e-05
280,3.4140625,3.4140625,0.0,1e-05
281,3.529296875,3.529296875,0.0,1e-05
282,3.66015625,3.66015625,0.0,1e-05
283,3.67578125,3.67578125,0.0,1e-05
284,3.5703125,3.5703125,0.0,1e-05
285,3.025390625,3.025390625,0.0,1e-05
286,3.8046875,3.8046875,0.0,1e-05
287,4.21484375,4.21484375,0.0,1e-05
288,3.552734375,3.552734375,0.0,1e-05
289,3.134765625,3.134765625,0.0,1e-05
290,3.08984375,3.08984375,0.0,1e-05
291,4.5,4.5,0.0,1e-05
292,3.8984375,3.8984375,0.0,1e-05
293,3.111328125,3.111328125,0.0,1e-05
294,3.294921875,3.294921875,0.0,1e-05
295,3.44921875,3.44921875,0.0,1e-05
296,3.60546875,3.60546875,0.0,1e-05
297,3.091796875,3.091796875,0.0,1e-05
298,3.19921875,3.19921875,0.0,1e-05
299,3.951171875,3.951171875,0.0,1e-05
300,3.94921875,3.94921875,0.0,1e-05
301,4.609375,4.609375,0.0,1e-05
302,3.3125,3.3125,0.0,1e-05
303,3.234375,3.234375,0.0,1e-05
304,3.310546875,3.310546875,0.0,1e-05
305,3.86328125,3.86328125,0.0,1e-05
306,3.28515625,3.28515625,0.0,1e-05
307,4.17578125,4.17578125,0.0,1e-05
308,3.744140625,3.744140625,0.0,1e-05
309,3.44140625,3.44140625,0.0,1e-05
310,4.43359375,4.43359375,0.0,1e-05
311,2.953125,2.953125,0.0,1e-05
312,3.216796875,3.216796875,0.0,1e-05
313,3.0390625,3.0390625,0.0,1e-05
314,3.046875,3.046875,0.0,1e-05
315,3.974609375,3.974609375,0.0,1e-05
