step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,2.9453125,2.9453125,0.0,1e-05
1,3.53515625,3.53515625,0.0,1e-05
2,3.376953125,3.376953125,0.0,1e-05
3,3.615234375,3.615234375,0.0,1e-05
4,2.982421875,2.982421875,0.0,1e-05
5,3.966796875,3.966796875,0.0,1e-05
6,2.845703125,2.845703125,0.0,1e-05
7,2.90625,2.90625,0.0,1e-05
8,3.591796875,3.591796875,0.0,1e-05
9,3.154296875,3.154296875,0.0,1e-05
10,3.220703125,3.220703125,0.0,1e-05
11,3.484375,3.484375,0.0,1e-05
12,3.501953125,3.501953125,0.0,1e-05
13,3.384765625,3.384765625,0.0,1e-05
14,2.634765625,2.634765625,0.0,1e-05
15,3.595703125,3.595703125,0.0,1e-05
16,3.736328125,3.736328125,0.0,1e-05
17,3.34765625,3.34765625,0.0,1e-05
18,2.677734375,2.677734375,0.0,1e-05
19,3.435546875,3.435546875,0.0,1e-05
20,2.955078125,2.955078125,0.0,1e-05
21,2.986328125,2.986328125,0.0,1e-05
22,2.564453125,2.564453125,0.0,1e-05
23,3.09375,3.09375,0.0,1e-05
24,3.98046875,3.98046875,0.0,1e-05
25,2.951171875,2.951171875,0.0,1e-05
26,3.62109375,3.62109375,0.0,1e-05
27,2.990234375,2.990234375,0.0,1e-05
28,3.837890625,3.837890625,0.0,1e-05
29,3.583984375,3.583984375,0.0,1e-05
30,3.744140625,3.744140625,0.0,1e-05
31,3.646484375,3.646484375,0.0,1e-05
32,3.830078125,3.830078125,0.0,1e-05
33,2.9453125,2.9453125,0.0,1e-05
34,3.189453125,3.189453125,0.0,1e-05
35,3.44921875,3.44921875,0.0,1e-05
36,3.74609375,3.74609375,0.0,1e-05
37,2.98046875,2.98046875,0.0,1e-05
38,3.4375,3.4375,0.0,1e-05
39,3.828125,3.828125,0.0,1e-05
40,2.9609375,2.9609375,0.0,1e-05
41,3.640625,3.640625,0.0,1e-05
42,3.427734375,3.427734375,0.0,1e-05
43,3.390625,3.390625,0.0,1e-05
44,3.041015625,3.041015625,0.0,1e-05
45,3.60546875,3.60546875,0.0,1e-05
46,3.486328125,3.486328125,0.0,1e-05
47,3.20703125,3.20703125,0.0,1e-05
48,3.587890625,3.587890625,0.0,1e-05
49,3.029296875,3.029296875,0.0,1e-05
50,3.0078125,3.0078125,0.0,1e-05
51,3.8515625,3.8515625,0.0,1e-05
52,3.779296875,3.779296875,0.0,1e-05
53,3.1796875,3.1796875,0.0,1e-05
54,3.310546875,3.310546875,0.0,1e-05
55,3.134765625,3.134765625,0.0,1e-05
56,3.056640625,3.056640625,0.0,1e-05
57,3.3046875,3.3046875,0.0,1e-05
58,2.703125,2.703125,0.0,1e-05
59,2.970703125,2.970703125,0.0,1e-05
60,3.095703125,3.095703125,0.0,1e-05
61,3.900390625,3.900390625,0.0,1e-05
62,4.1015625,4.1015625,0.0,1e-05
63,3.22265625,3.22265625,0.0,1e-05
64,3.3359375,3.3359375,0.0,1e-05
65,3.12890625,3.12890625,0.0,1e-05
66,3.361328125,3.361328125,0.0,1e-05
67,3.431640625,3.431640625,0.0,1e-05
68,3.46875,3.46875,0.0,1e-05
69,3.3828125,3.3828125,0.0,1e-05
70,3.498046875,3.498046875,0.0,1e-05
71,3.119140625,3.119140625,0.0,1e-05
72,3.423828125,3.423828125,0.0,1e-05
73,3.423828125,3.423828125,0.0,1e-05
74,3.69921875,3.69921875,0.0,1e-05
75,3.697265625,3.697265625,0.0,1e-05
76,3.384765625,3.384765625,0.0,1e-05
77,3.140625,3.140625,0.0,1e-05
78,3.37890625,3.37890625,0.0,1e-05
79,3.83984375,3.83984375,0.0,1e-05
80,2.814453125,2.814453125,0.0,1e-05
81,3.44921875,3.44921875,0.0,1e-05
82,3.55078125,3.55078125,0.0,1e-05
83,3.5390625,3.5390625,0.0,1e-05
84,3.748046875,3.748046875,0.0,1e-05
85,3.373046875,3.373046875,0.0,1e-05
86,3.11328125,3.11328125,0.0,1e-05
87,2.9609375,2.9609375,0.0,1e-05
88,3.705078125,3.705078125,0.0,1e-05
89,2.92578125,2.92578125,0.0,1e-05
90,3.46484375,3.46484375,0.0,1e-05
91,3.2265625,3.2265625,0.0,1e-05
92,3.21484375,3.21484375,0.0,1e-05
93,3.23828125,3.23828125,0.0,1e-05
94,3.05859375,3.05859375,0.0,1e-05
95,3.185546875,3.185546875,0.0,1e-05
96,2.501953125,2.501953125,0.0,1e-05
97,2.890625,2.890625,0.0,1e-05
98,3.486328125,3.486328125,0.0,1e-05
99,3.3203125,3.3203125,0.0,1e-05
100,3.384765625,3.384765625,0.0,1e-05
101,2.841796875,2.841796875,0.0,1e-05
102,3.13671875,3.13671875,0.0,1e-05
103,3.142578125,3.142578125,0.0,1e-05
104,3.02734375,3.02734375,0.0,1e-05
105,3.927734375,3.927734375,0.0,1e-05
106,3.173828125,3.173828125,0.0,1e-05
107,2.97265625,2.97265625,0.0,1e-05
108,2.908203125,2.908203125,0.0,1e-05
109,3.5703125,3.5703125,0.0,1e-05
110,3.501953125,3.501953125,0.0,1e-05
111,3.166015625,3.166015625,0.0,1e-05
112,3.6171875,3.6171875,0.0,1e-05
113,3.154296875,3.154296875,0.0,1e-05
114,2.77734375,2.77734375,0.0,1e-05
115,2.90234375,2.90234375,0.0,1e-05
116,3.6015625,3.6015625,0.0,1e-05
117,3.63671875,3.63671875,0.0,1e-05
118,3.05078125,3.05078125,0.0,1e-05
119,3.072265625,3.072265625,0.0,1e-05
120,3.6796875,3.6796875,0.0,1e-05
121,3.5703125,3.5703125,0.0,1e-05
122,3.90625,3.90625,0.0,1e-05
123,2.91015625,2.91015625,0.0,1e-05
124,2.94140625,2.94140625,0.0,1e-05
125,3.349609375,3.349609375,0.0,1e-05
126,2.865234375,2.865234375,0.0,1e-05
127,2.865234375,2.865234375,0.0,1e-05
128,2.998046875,2.998046875,0.0,1e-05
129,2.978515625,2.978515625,0.0,1e-05
130,3.169921875,3.169921875,0.0,1e-05
131,3.962890625,3.962890625,0.0,1e-05
132,3.35546875,3.35546875,0.0,1e-05
133,3.44921875,3.44921875,0.0,1e-05
134,2.68359375,2.68359375,0.0,1e-05
135,3.314453125,3.314453125,0.0,1e-05
136,3.298828125,3.298828125,0.0,1e-05
137,3.21484375,3.21484375,0.0,1e-05
138,4.140625,4.140625,0.0,1e-05
139,3.515625,3.515625,0.0,1e-05
140,3.4375,3.4375,0.0,1e-05
141,3.130859375,3.130859375,0.0,1e-05
142,2.814453125,2.814453125,0.0,1e-05
143,3.216796875,3.216796875,0.0,1e-05
144,3.54296875,3.54296875,0.0,1e-05
145,3.486328125,3.486328125,0.0,1e-05
146,3.203125,3.203125,0.0,1e-05
147,3.224609375,3.224609375,0.0,1e-05
148,3.056640625,3.056640625,0.0,1e-05
149,2.701171875,2.701171875,0.0,1e-05
150,3.498046875,3.498046875,0.0,1e-05
151,3.255859375,3.255859375,0.0,1e-05
152,2.751953125,2.751953125,0.0,1e-05
153,3.271484375,3.271484375,0.0,1e-05
154,3.07421875,3.07421875,0.0,1e-05
155,3.224609375,3.224609375,0.0,1e-05
156,3.486328125,3.486328125,0.0,1e-05
157,3.376953125,3.376953125,0.0,1e-05
158,3.345703125,3.345703125,0.0,1e-05
159,3.265625,3.265625,0.0,1e-05
160,3.494140625,3.494140625,0.0,1e-05
161,3.5859375,3.5859375,0.0,1e-05
162,3.57421875,3.57421875,0.0,1e-05
163,3.509765625,3.509765625,0.0,1e-05
164,3.607421875,3.607421875,0.0,1e-05
165,3.296875,3.296875,0.0,1e-05
166,3.21875,3.21875,0.0,1e-05
167,2.83203125,2.83203125,0.0,1e-05
168,2.99609375,2.99609375,0.0,1e-05
169,4.28515625,4.28515625,0.0,1e-05
170,3.27734375,3.27734375,0.0,1e-05
171,3.615234375,3.615234375,0.0,1e-05
172,2.953125,2.953125,0.0,1e-05
173,2.724609375,2.724609375,0.0,1e-05
174,3.84765625,3.84765625,0.0,1e-05
175,3.13671875,3.13671875,0.0,1e-05
