step,total_loss,likelihood_loss,frequency_loss,learning_rate
0,3.486328125,3.486328125,0.0,1e-05
1,8.641544595595402,3.5234375,5.118107095595402,1e-05
2,7.867665017418799,2.9375,4.930165017418799,1e-05
3,8.390575123364666,3.462890625,4.927684498364667,1e-05
4,8.007275980655685,3.095703125,4.911572855655684,1e-05
5,9.064805928411385,4.1796875,4.885118428411385,1e-05
6,8.37482505649127,3.55859375,4.81623130649127,1e-05
7,7.636105284973985,2.927734375,4.708370909973985,1e-05
8,8.14154289127099,3.48046875,4.6610741412709915,1e-05
9,7.719804186271808,3.16796875,4.551835436271808,1e-05
10,7.916209850533678,3.380859375,4.535350475533678,1e-05
11,7.862276799974452,3.33984375,4.522433049974452,1e-05
12,7.592394820875558,3.119140625,4.473254195875558,1e-05
13,8.364866686142879,3.900390625,4.464476061142879,1e-05
14,8.19400306017053,3.75,4.444003060170529,1e-05
15,7.55044987488024,3.20703125,4.34341862488024,1e-05
16,7.686204171455941,3.33203125,4.354172921455941,1e-05
17,7.76015177654693,3.45703125,4.30312052654693,1e-05
18,8.029669443514805,3.73828125,4.291388193514806,1e-05
19,8.448681866352324,4.1171875,4.331494366352323,1e-05
20,7.141747251706258,2.85546875,4.286278501706258,1e-05
21,7.658464083769153,3.408203125,4.250260958769153,1e-05
22,7.522307974803291,3.322265625,4.200042349803291,1e-05
23,7.596577824163948,3.4375,4.159077824163948,1e-05
24,7.459174336286521,3.267578125,4.191596211286521,1e-05
25,7.821442684904268,3.607421875,4.214020809904268,1e-05
26,7.544416221003245,3.37109375,4.173322471003245,1e-05
27,8.532897897113472,4.37890625,4.153991647113471,1e-05
28,7.299460581300914,3.1484375,4.151023081300914,1e-05
29,7.159533963039574,3.06640625,4.093127713039574,1e-05
30,7.22538171851679,3.12890625,4.09647546851679,1e-05
31,7.434376464530032,3.314453125,4.119923339530032,1e-05
32,6.978426850307157,2.884765625,4.093661225307157,1e-05
33,8.360726185726062,4.23828125,4.122444935726061,1e-05
34,7.415114053654494,3.3125,4.102614053654494,1e-05
35,7.78448994798655,3.71875,4.06573994798655,1e-05
36,7.738633903241226,3.669921875,4.068712028241226,1e-05
37,7.713853620188483,3.654296875,4.059556745188483,1e-05
38,8.275797447988145,4.23046875,4.045328697988145,1e-05
39,7.079301348302432,3.005859375,4.073441973302432,1e-05
40,7.390963417132476,3.33984375,4.051119667132476,1e-05
41,6.770542080086023,2.736328125,4.034213955086023,1e-05
42,6.808769362080817,2.78125,4.027519362080817,1e-05
43,7.695402004325326,3.67578125,4.019620754325326,1e-05
44,7.305284821843212,3.294921875,4.010362946843212,1e-05
45,8.129652837169132,4.09765625,4.031996587169132,1e-05
46,7.400283796261331,3.3828125,4.017471296261331,1e-05
47,7.574240638323337,3.56640625,4.007834388323337,1e-05
48,7.599943820564368,3.59765625,4.002287570564368,1e-05
49,7.010583042971703,3.021484375,3.9890986679717035,1e-05
50,8.05180863463351,4.07421875,3.9775898846335105,1e-05
51,7.535380867170316,3.537109375,3.9982714921703164,1e-05
52,6.799041978091891,2.818359375,3.9806826030918914,1e-05
53,7.281207609597963,3.298828125,3.982379484597964,1e-05
54,6.848151711650495,2.875,3.973151711650494,1e-05
