step,total_loss,learning_rate,beats_features,whisper_features
145,3.466796875,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
146,3.478515625,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
147,3.41796875,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
148,3.5234375,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
149,3.404296875,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
150,3.228515625,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
151,4.328125,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
152,5.29296875,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
153,4.12109375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
154,4.0546875,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
155,3.1953125,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
156,4.66015625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
157,3.5234375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
158,3.521484375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
159,4.42578125,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
160,3.93359375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
161,3.64453125,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
162,3.44921875,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
163,3.662109375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
164,3.92578125,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
165,3.609375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
166,3.81640625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
167,3.697265625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
168,4.34765625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
169,3.236328125,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
170,3.2109375,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
171,4.14453125,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
172,3.5,0.01,"['/m/04rlf', '/t/dd00033', '/m/07pkxdp', '/t/dd00034', '/m/02v2lh']", Perfect love
173,4.3359375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
174,3.46875,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
175,3.390625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
176,3.44140625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
177,3.99609375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
178,3.294921875,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
179,3.2265625,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
180,4.3984375,0.01,"['/m/04rlf', '/t/dd00033', '/t/dd00034', '/m/07pkxdp', '/m/02v2lh']", Perfect love
